boundary,component,control,hi,lo,stage,units,width
51,1,C4,0.0009891645176366782,-0.0009469464693128627,B5,endpoint physical,0.0019361109869495408
51,0,C4,2e-323,-2e-323,B6,endpoint physical,4e-323
51,1,C4,2e-323,-2e-323,B6,endpoint physical,4e-323
51,0,C4,1.53e-322,-1.53e-322,B7,endpoint physical,3.06e-322
51,1,C4,1.53e-322,-1.53e-322,B7,endpoint physical,3.06e-322
51,0,C4,5e-324,-5e-324,B8,physical source,1e-323
51,1,C4,2.263060391055213e-06,2.263060391055212e-06,B8,physical source,8.470329472543003e-22
51,0,C4,2e-323,-2e-323,B9,physical source,4e-323
51,1,C4,2.695246552992062e-05,-2.695246552992062e-05,B9,physical source,5.390493105984124e-05
51,0,C4,4.585583190613118e-06,-4.585583190613118e-06,B10,physical source,9.171166381226236e-06
51,1,C4,3.8309748019629414e-05,-3.821277293450295e-05,B10,physical source,7.652252095413235e-05
51,0,C4,0.028099430539853337,-0.0269791182951297,B11,new normalized,0.05507854883498303
51,1,C4,0.02212141943529715,-0.021140816986273004,B11,new normalized,0.04326223642157015
51,0,C4,1.3922381750419051e-06,-2.123063775849244e-06,B12,new normalized,3.5153019508911495e-06
51,1,C4,4.373943749396838e-05,-6.875210155278808e-05,B12,new normalized,0.00011249153904675647
51,0,C4,0.028100822778028382,-0.02698124135890555,B13,new normalized,0.055082064136933936
51,1,C4,0.02216515887279112,-0.0212095690878258,B13,new normalized,0.04337472796061692
51,0,C4,0.028100822778028386,-0.026981241358905554,B14,new normalized,0.055082064136933936
51,1,C4,0.022165158872791094,-0.021209569087825772,B14,new normalized,0.043374727960616866
51,0,C4,0.0011400745749199004,-0.0010946521927862113,B15,endpoint physical,0.0022347267677061116
51,1,C4,0.0010587791248239343,-0.0010131327785909614,B15,endpoint physical,0.002071911903414896
51,0,C4,4.6420674920919795e-06,-4.671717715957754e-06,B16,tube physical,9.313785208049735e-06
51,1,C4,6.961460718725317e-05,-6.618630927809549e-05,B16,tube physical,0.00013580091646534865
52,0,C4,0.9718991772219715,-0.7920996259091192,A0,old normalized,1.7639988031310907
52,1,C4,0.9778348411272073,-0.8536363380506921,A0,old normalized,1.8314711791778993
52,0,C4,0.028100822778028386,-0.026981241358905554,A1,old normalized,0.055082064136933936
52,1,C4,0.022165158872791094,-0.021209569087825772,A1,old normalized,0.043374727960616866
52,0,C4,8e-323,-8e-323,A2,old normalized,1.6e-322
52,1,C4,8e-323,-8e-323,A2,old normalized,1.6e-322
52,0,C4,0.02810082277802839,-0.026981241358905558,A3,old normalized,0.05508206413693395
52,1,C4,0.022165158872791097,-0.021209569087825775,A3,old normalized,0.04337472796061687
52,0,C4,0.03056560130162553,-0.02934967088126434,B0,new normalized,0.059915272182889875
52,1,C4,0.025134976266866577,-0.024042051873964174,B0,new normalized,0.04917702814083075
52,0,C4,1.8876310358408506,1.809485428455866,B1,endpoint physical,0.07814560738498466
52,1,C4,-0.4708738555692762,-0.5537483551730562,B1,endpoint physical,0.08287449960378002
52,0,C4,0.9999999999999999,-0.8190808672680248,B2,old normalized,1.8190808672680245
52,1,C4,0.9999999999999984,-0.8748459071385178,B2,old normalized,1.8748459071385164
52,0,C4,8e-323,-8e-323,B3,old normalized,1.6e-322
52,1,C4,8e-323,-8e-323,B3,old normalized,1.6e-322
52,0,C4,0.04062259049179271,0.04060162331905681,B4,endpoint physical,2.096717273589871e-05
52,1,C4,0.0022743442264982878,0.0022575716385271525,B4,endpoint physical,1.677258797113529e-05
52,0,C4,0.001191939417306038,-0.0011442857796844547,B5,endpoint physical,0.0023362251969904924
52,1,C4,0.000999042771420235,-0.0009561552417674212,B5,endpoint physical,0.0019551980131876563
52,0,C4,2e-323,-2e-323,B6,endpoint physical,4e-323
52,1,C4,2e-323,-2e-323,B6,endpoint physical,4e-323
52,0,C4,1.53e-322,-1.53e-322,B7,endpoint physical,3.06e-322
52,1,C4,1.53e-322,-1.53e-322,B7,endpoint physical,3.06e-322
52,0,C4,5e-324,-5e-324,B8,physical source,1e-323
52,1,C4,2.502668592684605e-06,2.502668592684604e-06,B8,physical source,8.470329472543003e-22
52,0,C4,2e-323,-2e-323,B9,physical source,4e-323
52,1,C4,3.085106215068102e-05,-3.085106215068102e-05,B9,physical source,6.170212430136204e-05
52,0,C4,5.044141209674431e-06,-5.044141209674431e-06,B10,physical source,1.0088282419348862e-05
52,1,C4,4.2436627652180804e-05,-4.227085433387952e-05,B10,physical source,8.470748198606033e-05
52,0,C4,0.0305638080459852,-0.029347018874072865,B11,new normalized,0.059910826920058065
52,1,C4,0.02508030054775211,-0.02395889378645561,B11,new normalized,0.049039194334207725
52,0,C4,1.793255640766117e-06,-2.6520071919097664e-06,B12,new normalized,4.4452628326758835e-06
52,1,C4,5.4675719114823645e-05,-8.315808750891994e-05,B12,new normalized,0.0001378338066237436
52,0,C4,0.03056560130162597,-0.029349670881264778,B13,new normalized,0.05991527218289075
52,1,C4,0.025134976266866938,-0.024042051873964538,B13,new normalized,0.049177028140831476
52,0,C4,0.030565601301625923,-0.029349670881264736,B14,new normalized,0.05991527218289066
52,1,C4,0.02513497626686694,-0.02404205187396454,B14,new normalized,0.04917702814083148
52,0,C4,0.0011970537885575665,-0.001149433782592288,B15,endpoint physical,0.0023464875711498544
52,1,C4,0.0010771762944915512,-0.0010303382853680684,B15,endpoint physical,0.0021075145798596195
52,0,C4,5.114371251525994e-06,-5.148002907830805e-06,B16,tube physical,1.0262374159356798e-05
52,1,C4,7.813352307131354e-05,-7.418304360064462e-05,B16,tube physical,0.00015231656667195816
53,0,C4,0.9694343986983727,-0.7757137701924285,A0,old normalized,1.7451481688908013
53,1,C4,0.9748650237331329,-0.8431552979397439,A0,old normalized,1.8180203216728767
53,0,C4,0.030565601301625923,-0.029349670881264736,A1,old normalized,0.05991527218289066
53,1,C4,0.02513497626686694,-0.02404205187396454,A1,old normalized,0.04917702814083148
53,0,C4,8e-323,-8e-323,A2,old normalized,1.6e-322
53,1,C4,8e-323,-8e-323,A2,old normalized,1.6e-322
53,0,C4,0.030565601301625927,-0.02934967088126474,A3,old normalized,0.059915272182890666
53,1,C4,0.025134976266866945,-0.024042051873964545,A3,old normalized,0.04917702814083149
53,0,C4,0.03326412702906669,-0.03194228103737755,B0,new normalized,0.06520640806644423
53,1,C4,0.02889484341946666,-0.027621260974736803,B0,new normalized,0.05651610439420346
