plant,step,history_length,history_length_after,category,label,seconds,calls,interval_constructions,tensor_outputs,explicit_copy_events,step_seconds,boundary_sum_seconds,nonboundary_seconds,pass_kind,window,inplace_tensor_self_returns,tensor_result_creations,actual_entry_details,binding_details
brusselator,7,6,7,E,composition_and_cutoff,0.09035655995830894,181,1108,31112,4704,1.254331068135798,0.7863383572548628,0.4679927108809352,exclusive_wall_timer,brusselator_early,0,31112,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,7,6,7,F,center_scale_and_maps,0.0018206341192126274,5,4,632,20,1.254331068135798,0.7863383572548628,0.4679927108809352,exclusive_wall_timer,brusselator_early,0,632,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,7,6,7,G,history_checks_pack_propagate_commit,0.0075441645458340645,30,44,2731,176,1.254331068135798,0.7863383572548628,0.4679927108809352,exclusive_wall_timer,brusselator_early,0,2731,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,7,6,7,H,other_boundary,0.0033738156780600548,1,34,1064,136,1.254331068135798,0.7863383572548628,0.4679927108809352,exclusive_wall_timer,brusselator_early,0,1064,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,7,6,7,outside_boundary,nonboundary_or_unattributed,0.4679927108809352,0,297,122032,11690,1.254331068135798,0.7863383572548628,0.4679927108809352,exclusive_wall_timer,brusselator_early,646,121386,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,8,7,8,A,representation_and_coefficients,0.0545572298578918,236,5,15633,1982,1.286793848965317,0.8223150977864861,0.46447875117883086,exclusive_wall_timer,brusselator_early,8,15625,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,8,7,8,B,point_substitution,0.0010718954727053642,3,0,344,0,1.286793848965317,0.8223150977864861,0.46447875117883086,exclusive_wall_timer,brusselator_early,1,343,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,8,7,8,C,endpoint_error_and_ledger,0.01841896353289485,7,28,5276,118,1.286793848965317,0.8223150977864861,0.46447875117883086,exclusive_wall_timer,brusselator_early,42,5234,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,8,7,8,D,polynomial_interval_range,0.6441842229105532,264,10794,219488,43176,1.286793848965317,0.8223150977864861,0.46447875117883086,exclusive_wall_timer,brusselator_early,0,219488,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,8,7,8,E,composition_and_cutoff,0.09107941202819347,181,1134,32476,4816,1.286793848965317,0.8223150977864861,0.46447875117883086,exclusive_wall_timer,brusselator_early,0,32476,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,8,7,8,F,center_scale_and_maps,0.001824310515075922,5,4,632,20,1.286793848965317,0.8223150977864861,0.46447875117883086,exclusive_wall_timer,brusselator_early,0,632,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,8,7,8,G,history_checks_pack_propagate_commit,0.007747428957372904,30,48,2937,192,1.286793848965317,0.8223150977864861,0.46447875117883086,exclusive_wall_timer,brusselator_early,0,2937,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,8,7,8,H,other_boundary,0.0034316345117986202,1,34,1064,136,1.286793848965317,0.8223150977864861,0.46447875117883086,exclusive_wall_timer,brusselator_early,0,1064,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
