plant,view,range_kind,state,comparison,scope,selection,requested_time,actual_time,ratio,numerator_width,denominator_width,numerator_lo,numerator_hi,denominator_lo,denominator_hi,absolute_width_difference,reason
brusselator,common,endpoint,x,strict_vs_parity,DIAGNOSTIC_ONLY,specified_checkpoint,15,15.0,,,,,,,,,missing_or_stopped
brusselator,common,endpoint,x,strict_vs_parity,DIAGNOSTIC_ONLY,specified_checkpoint,20,20.0,,,,,,,,,missing_or_stopped
brusselator,common,endpoint,x,strict_vs_parity,DIAGNOSTIC_ONLY,maximum_ratio_in_observed_prefix,,0.04,1.0000347188851162,0.0528844875952621,0.05288265156855765,1.546515402913804,1.599399890509066,1.546516310002653,1.5993989615712108,1.8360267044492673e-06,
brusselator,common,endpoint,x,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,specified_checkpoint,1,1.0,1.0629726644408424,0.034174944886736336,0.03215035158473567,1.9516486938531779,1.9858236387399142,1.9524671970938487,1.9846175486785844,0.0020245933020006657,
brusselator,common,endpoint,x,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,specified_checkpoint,5,5.0,1.010124420984667,0.0014950346295276584,0.0014800499804472622,0.4261001742928711,0.4275952089223988,0.4261118872333498,0.42759193721379707,1.4984649080396206e-05,
brusselator,common,endpoint,x,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,specified_checkpoint,10,10.0,0.9354128093056787,0.003118713650755278,0.003334050613514883,0.41199949815307874,0.415118211803834,0.41190019067408556,0.41523424128760045,-0.00021533696275960468,
brusselator,common,endpoint,x,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,specified_checkpoint,15,15.0,1.0182501364777459,0.0589439012080879,0.05788744739282059,2.6379021144898744,2.6968460156979623,2.638514612696639,2.6964020600894596,0.0010564538152673109,
brusselator,common,endpoint,x,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,specified_checkpoint,20,20.0,0.9686350597563537,0.003405774816002738,0.0035160556926975284,0.49693431276355987,0.5003400875795626,0.49687693419680246,0.5003929898895,-0.00011028087669479048,
brusselator,common,endpoint,x,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,maximum_ratio_in_observed_prefix,,7.2,1.3566840773379207,0.24691833317200373,0.18200134968526038,2.8063271299520847,3.0532454631240884,2.8381349312780157,3.020136280963276,0.06491698348674335,
brusselator,common,endpoint,y,strict_vs_ours,DIAGNOSTIC_ONLY,specified_checkpoint,1,1.0,,,0.04833840313834137,,,1.3630512999431375,1.4113897030814788,,missing_or_stopped
brusselator,common,endpoint,y,strict_vs_ours,DIAGNOSTIC_ONLY,specified_checkpoint,5,5.0,,,0.010278258891664116,,,4.289702652947389,4.299980911839053,,missing_or_stopped
brusselator,common,endpoint,y,strict_vs_ours,DIAGNOSTIC_ONLY,specified_checkpoint,10,10.0,,,0.015256218278942857,,,2.981397197600066,2.996653415879009,,missing_or_stopped
brusselator,common,endpoint,y,strict_vs_ours,DIAGNOSTIC_ONLY,specified_checkpoint,15,15.0,,,0.016745642493426915,,,1.0130844846349092,1.029830127128336,,missing_or_stopped
brusselator,common,endpoint,y,strict_vs_ours,DIAGNOSTIC_ONLY,specified_checkpoint,20,20.0,,,0.008336114996500221,,,4.592612161756303,4.600948276752804,,missing_or_stopped
brusselator,common,endpoint,y,strict_vs_ours,DIAGNOSTIC_ONLY,maximum_ratio_in_observed_prefix,,0.02,1.0886755370416903,0.04695571939209486,0.04313105034002129,2.930415969002432,2.977371688394527,2.9323283041647192,2.9754593545047405,0.0038246690520735704,
brusselator,common,endpoint,y,strict_vs_flowstar,DIAGNOSTIC_ONLY,specified_checkpoint,1,1.0,,,0.052357037954776864,,,1.3615514641951751,1.413908502149952,,missing_or_stopped
brusselator,common,endpoint,y,strict_vs_flowstar,DIAGNOSTIC_ONLY,specified_checkpoint,5,5.0,,,0.010319461296544041,,,4.2896504139733596,4.299969875269904,,missing_or_stopped
brusselator,common,endpoint,y,strict_vs_flowstar,DIAGNOSTIC_ONLY,specified_checkpoint,10,10.0,,,0.01537981002800004,,,2.9813118542445785,2.9966916642725785,,missing_or_stopped
brusselator,common,endpoint,y,strict_vs_flowstar,DIAGNOSTIC_ONLY,specified_checkpoint,15,15.0,,,0.01794266140303069,,,1.0124797594712656,1.0304224208742963,,missing_or_stopped
