window,plant,step,history_before,replay_calls,category,exclusive_seconds,inclusive_seconds_diagnostic_only,calls
brusselator_0101_0120,brusselator,104,103,9,boundary_endpoint,0.1292382744140923,0.8095041112974286,2
brusselator_0101_0120,brusselator,104,103,9,cross_step_history,0.6802658368833363,0.6802658368833363,2
brusselator_0101_0120,brusselator,104,103,9,python_tensor_dispatch_and_other,0.035195119213312864,0.035195119213312864,1
brusselator_0101_0120,brusselator,105,104,9,polynomial_multiply_truncate_range,0.27402794547379017,0.27402794547379017,166
brusselator_0101_0120,brusselator,105,104,9,candidate_polynomial,0.02648557862266898,0.2071323120035231,1
brusselator_0101_0120,brusselator,105,104,9,initial_remainder,0.010168259963393211,0.07365327468141913,1
brusselator_0101_0120,brusselator,105,104,9,refinement_fixed_polynomial,0.574320690240711,0.574320690240711,351
brusselator_0101_0120,brusselator,105,104,9,refinement_dynamic,0.09370726393535733,1.3341390835121274,10
brusselator_0101_0120,brusselator,105,104,9,boundary_endpoint,0.12916348269209266,0.8166178939864039,2
brusselator_0101_0120,brusselator,105,104,9,cross_step_history,0.6874544112943113,0.6874544112943113,2
brusselator_0101_0120,brusselator,105,104,9,python_tensor_dispatch_and_other,0.03629284258931875,0.03629284258931875,1
brusselator_0101_0120,brusselator,106,105,9,polynomial_multiply_truncate_range,0.27590445801615715,0.27590445801615715,166
brusselator_0101_0120,brusselator,106,105,9,candidate_polynomial,0.02716443734243512,0.20962458197027445,1
brusselator_0101_0120,brusselator,106,105,9,initial_remainder,0.010150973219424486,0.0737650110386312,1
brusselator_0101_0120,brusselator,106,105,9,refinement_fixed_polynomial,0.5830257735215127,0.5830257735215127,351
brusselator_0101_0120,brusselator,106,105,9,refinement_dynamic,0.09537400538101792,1.3548146653920412,10
brusselator_0101_0120,brusselator,106,105,9,boundary_endpoint,0.1293183141387999,0.8061290974728763,2
brusselator_0101_0120,brusselator,106,105,9,cross_step_history,0.6768107833340764,0.6768107833340764,2
brusselator_0101_0120,brusselator,106,105,9,python_tensor_dispatch_and_other,0.03556241327896714,0.03556241327896714,1
brusselator_0101_0120,brusselator,107,106,9,polynomial_multiply_truncate_range,0.27349906507879496,0.27349906507879496,166
brusselator_0101_0120,brusselator,107,106,9,candidate_polynomial,0.02671861695125699,0.20577651308849454,1
brusselator_0101_0120,brusselator,107,106,9,initial_remainder,0.01037879940122366,0.07413283688947558,1
brusselator_0101_0120,brusselator,107,106,9,refinement_fixed_polynomial,0.5767146204598248,0.5767146204598248,351
brusselator_0101_0120,brusselator,107,106,9,refinement_dynamic,0.09509599441662431,1.3416061960160732,10
brusselator_0101_0120,brusselator,107,106,9,boundary_endpoint,0.12992609664797783,0.8045829739421606,2
brusselator_0101_0120,brusselator,107,106,9,cross_step_history,0.6746568772941828,0.6746568772941828,2
brusselator_0101_0120,brusselator,107,106,9,python_tensor_dispatch_and_other,0.03617053059861064,0.03617053059861064,1
brusselator_0101_0120,brusselator,108,107,9,polynomial_multiply_truncate_range,0.2740771654061973,0.2740771654061973,166
brusselator_0101_0120,brusselator,108,107,9,candidate_polynomial,0.0266147805377841,0.20681199943646789,1
brusselator_0101_0120,brusselator,108,107,9,initial_remainder,0.010385282803326845,0.07446824433282018,1
brusselator_0101_0120,brusselator,108,107,9,refinement_fixed_polynomial,0.5823512249626219,0.5823512249626219,351
brusselator_0101_0120,brusselator,108,107,9,refinement_dynamic,0.095088055357337,1.3528980165719986,10
brusselator_0101_0120,brusselator,108,107,9,boundary_endpoint,0.12946660676971078,0.809742643032223,2
brusselator_0101_0120,brusselator,108,107,9,cross_step_history,0.6802760362625122,0.6802760362625122,2
brusselator_0101_0120,brusselator,108,107,9,python_tensor_dispatch_and_other,0.03680219268426299,0.03680219268426299,1
brusselator_0101_0120,brusselator,109,108,9,polynomial_multiply_truncate_range,0.27673177095130086,0.27673177095130086,166
brusselator_0101_0120,brusselator,109,108,9,candidate_polynomial,0.02703036880120635,0.20779679203405976,1
brusselator_0101_0120,brusselator,109,108,9,initial_remainder,0.01020877668634057,0.07449220400303602,1
brusselator_0101_0120,brusselator,109,108,9,refinement_fixed_polynomial,0.5739228697493672,0.5739228697493672,351
