analytic_reference_contained,basis,carried_basis,carried_max_degree,carry_contract,compile_time_s,directed_rounding_or_mpfr,exact_reference_contained,failure_category,first_call_time_s,floating_point_enclosure_candidate,h,horizon,interval_kind,local_construction_basis,local_construction_order,lower,max_degree,message,mode,monomial_families,native_validation_passed,number_of_discarded_candidates,number_of_retained_coefficients,number_of_steps,numerical_backend,polynomial_width,projection_method,protocol,python_orchestration_time_s,remainder_estimation,remainder_width,reset_method,runtime_s,sampled_trajectory_contained,state_index,steady_step_time_s,step_index,successful_horizon,system,term_count,time,tool,trajectory_sanity_passed,upper,validation_failed,validation_trace_count,validator,variant,width
,,,,none_one_step,1.7231991440057755,True,,,,False,0.02,0.02,tube,,,-0.00010035075495376084,4,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 4, ""time_state"": 1, ""time_state_higher"": 4}",True,,,,,0.10030050045005026,,one_step_common_input,,,2.024668482097914e-07,,1.9449035972356796,,0,,1,,riccati,11,0.02,flowstar,,0.10020045211194448,,27,,flowstar_root_cause_patch,0.10030080286689824
True,,,,none_one_step,1.7231991440057755,True,,,,False,0.02,0.02,endpoint_raw,,,-0.00010035075490376611,2,,,"{""affine_state"": 1, ""constant"": 1, ""state_state"": 1}",True,,,,,0.10025045040000011,,one_step_common_input,,,2.024668482097914e-07,,1.9449035972356796,,0,,1,,riccati,3,0.02,flowstar,,0.10020045211194448,,27,,flowstar_root_cause_patch,0.10030080286684824
,,,,none_one_step,1.715990741737187,True,,,,False,0.05,0.05,tube,,,-0.00025219941392638003,4,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 4, ""time_state"": 1, ""time_state_higher"": 4}",True,,,,,0.10075313203320337,,one_step_common_input,,,1.2889451435664554e-06,,1.9377326178364456,,0,,1,,riccati,11,0.05,flowstar,,0.10050284578317034,,27,,flowstar_root_cause_patch,0.10075504519709672
True,,,,none_one_step,1.715990741737187,True,,,,False,0.05,0.05,endpoint_raw,,,-0.00025219941197325487,2,,,"{""affine_state"": 1, ""constant"": 1, ""state_state"": 1}",True,,,,,0.10062781875000013,,one_step_common_input,,,1.2889451435664554e-06,,1.9377326178364456,,0,,1,,riccati,3,0.05,flowstar,,0.10050284578317034,,27,,flowstar_root_cause_patch,0.1007550451951436
,,,,none_one_step,1.7231580722145736,True,,,,False,0.005,0.005,tube,,,-0.10050251268750002,2,,,"{""affine_state"": 1, ""time_state"": 1}",True,,,,,0.2010000000000002,,one_step_common_input,,,5.025375000000003e-06,,1.894375727046281,,0,,1,,harmonic,2,0.005,flowstar,,0.10050251268750002,,43,,flowstar_root_cause_patch,0.20100502537500003
,,,,none_one_step,1.7231580722145736,True,,,,False,0.005,0.005,tube,,,-0.10050251268750002,2,,,"{""affine_state"": 1, ""time_state"": 1}",True,,,,,0.2010000000000002,,one_step_common_input,,,5.025375000000003e-06,,1.894375727046281,,1,,1,,harmonic,2,0.005,flowstar,,0.10050251268750002,,43,,flowstar_root_cause_patch,0.20100502537500003
True,,,,none_one_step,1.7231580722145736,True,,,,False,0.005,0.005,endpoint_raw,,,-0.10050251268750002,1,,,"{""affine_state"": 2}",True,,,,,0.20100000000000015,,one_step_common_input,,,5.025375000000003e-06,,1.894375727046281,,0,,1,,harmonic,2,0.005,flowstar,,0.10050251268750002,,43,,flowstar_root_cause_patch,0.20100502537500003
True,,,,none_one_step,1.7231580722145736,True,,,,False,0.005,0.005,endpoint_raw,,,-0.10050251268750002,1,,,"{""affine_state"": 2}",True,,,,,0.20100000000000018,,one_step_common_input,,,5.025375000000003e-06,,1.894375727046281,,1,,1,,harmonic,2,0.005,flowstar,,0.10050251268750002,,43,,flowstar_root_cause_patch,0.20100502537500003
,,,,none_one_step,1.7140945279970765,True,,,,False,0.005,0.005,tube,,,-0.10050125209380237,4,,,"{""affine_state"": 1, ""time_state"": 1, ""time_state_higher"": 2}",True,,,,,0.20100250416666693,,one_step_common_input,,,2.093805470058682e-11,,1.935853109229356,,0,,1,,harmonic,4,0.005,flowstar,,0.10050125209380237,,67,,flowstar_root_cause_patch,0.20100250418760474
,,,,none_one_step,1.7140945279970765,True,,,,False,0.005,0.005,tube,,,-0.10050125209380237,4,,,"{""affine_state"": 1, ""time_state"": 1, ""time_state_higher"": 2}",True,,,,,0.20100250416666693,,one_step_common_input,,,2.093805470058682e-11,,1.935853109229356,,1,,1,,harmonic,4,0.005,flowstar,,0.10050125209380237,,67,,flowstar_root_cause_patch,0.20100250418760474
True,,,,none_one_step,1.7140945279970765,True,,,,False,0.005,0.005,endpoint_raw,,,-0.10050125209380237,1,,,"{""affine_state"": 2}",True,,,,,0.20099749583333348,,one_step_common_input,,,5.008354271360893e-06,,1.935853109229356,,0,,1,,harmonic,2,0.005,flowstar,,0.10050125209380237,,67,,flowstar_root_cause_patch,0.20100250418760474
True,,,,none_one_step,1.7140945279970765,True,,,,False,0.005,0.005,endpoint_raw,,,-0.10050125209380237,1,,,"{""affine_state"": 2}",True,,,,,0.2009974958333335,,one_step_common_input,,,5.008354271360893e-06,,1.935853109229356,,1,,1,,harmonic,2,0.005,flowstar,,0.10050125209380237,,67,,flowstar_root_cause_patch,0.20100250418760474
,,,,none_one_step,1.7174059618264437,True,,,,False,0.01,0.01,tube,,,-0.10101010200000002,2,,,"{""affine_state"": 1, ""time_state"": 1}",True,,,,,0.2020000000000002,,one_step_common_input,,,2.020400000000001e-05,,1.8887442681007087,,0,,1,,harmonic,2,0.01,flowstar,,0.10101010200000002,,43,,flowstar_root_cause_patch,0.20202020400000004
