run_id,segment_index,t_hi,dimension,rank,monomial,interval_contribution_width,coefficient,total_degree,time_power,source_note
flowstar_style_o6_candidate8_output6_insert,32,3.0000000000000013,y,2,aggregate_right_map_y,0.11152311852559781,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,32,3.0000000000000013,x,3,scale_x,0.090715322394438719,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,32,3.0000000000000013,y,4,scale_y,0.067685048665446737,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,33,3.1000000000000014,x,1,aggregate_right_map_x,0.15825622972279896,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,33,3.1000000000000014,x,2,scale_x,0.095309861981222585,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,33,3.1000000000000014,y,3,aggregate_right_map_y,0.066538282321952358,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,33,3.1000000000000014,y,4,scale_y,0.040072700554543303,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,34,3.2000000000000015,x,1,aggregate_right_map_x,0.16410006963513427,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,34,3.2000000000000015,x,2,scale_x,0.095862827350826615,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,34,3.2000000000000015,y,3,aggregate_right_map_y,0.088999993586220988,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,34,3.2000000000000015,y,4,scale_y,0.051991391827866155,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,35,3.3000000000000016,y,1,aggregate_right_map_y,0.18607649082970454,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,35,3.3000000000000016,x,2,aggregate_right_map_x,0.15588979894742053,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,35,3.3000000000000016,y,3,scale_y,0.1101627392325089,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,35,3.3000000000000016,x,4,scale_x,0.092291332418611691,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,36,3.3500000000000014,y,1,aggregate_right_map_y,0.22950900769480528,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,36,3.3500000000000014,x,2,aggregate_right_map_x,0.14890361250534209,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,36,3.3500000000000014,y,3,scale_y,0.13654905737572673,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,36,3.3500000000000014,x,4,scale_x,0.088591938641827975,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,37,3.4250000000000016,y,1,aggregate_right_map_y,0.27763678808228953,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,37,3.4250000000000016,y,2,scale_y,0.16622035621814366,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,37,3.4250000000000016,x,3,aggregate_right_map_x,0.13487725909213058,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,37,3.4250000000000016,x,4,scale_x,0.080750631812437745,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,38,3.4750000000000014,y,1,aggregate_right_map_y,0.29692178673149661,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,38,3.4750000000000014,y,2,scale_y,0.17823660172728262,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,38,3.4750000000000014,x,3,aggregate_right_map_x,0.12407808673700771,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,38,3.4750000000000014,x,4,scale_x,0.074481757543867086,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,39,3.5500000000000016,y,1,aggregate_right_map_y,0.3074155711417127,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,39,3.5500000000000016,y,2,scale_y,0.18471617140944072,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,39,3.5500000000000016,x,3,aggregate_right_map_x,0.10675087610892189,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,39,3.5500000000000016,x,4,scale_x,0.064143182650801836,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,40,3.6000000000000014,y,1,aggregate_right_map_y,0.30565553884719715,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,40,3.6000000000000014,y,2,scale_y,0.18321541427591317,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,40,3.6000000000000014,x,3,aggregate_right_map_x,0.095498432156889315,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,40,3.6000000000000014,x,4,scale_x,0.057243473736202997,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,41,3.6750000000000016,y,1,aggregate_right_map_y,0.2881039929627931,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,41,3.6750000000000016,y,2,scale_y,0.1717438795357599,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
